Zaporizhzhia Raion	Zaporizhzhia Oblast	Zaporizhzhia
Melitopol Raion	Zaporizhzhia Oblast	Melitopol
Berdiansk Raion	Zaporizhzhia Oblast	Berdiansk
Polohy Raion	Zaporizhzhia Oblast	Polohy
Vasylivka Raion	Zaporizhzhia Oblast	Vasylivka
Zhytomyr Raion	Zhytomyr Oblast	Zhytomyr
Berdychiv Raion	Zhytomyr Oblast	Berdychiv
Korosten Raion	Zhytomyr Oblast	Korosten
Zviahel Raion	Zhytomyr Oblast	Zviahel
Bakhchysarai Raion	Autonomous Republic of Crimea	Bakhchysarai
Bilohirsk Raion	Autonomous Republic of Crimea	Bilohirsk
Dzhankoi Raion	Autonomous Republic of Crimea	Dzhankoi
Feodosia Raion	Autonomous Republic of Crimea	Feodosia
Kerch Raion	Autonomous Republic of Crimea	Kerch
Perekop Raion	Autonomous Republic of Crimea	Yany Kapu
Kurman Raion	Autonomous Republic of Crimea	Kurman
Simferopol Raion	Autonomous Republic of Crimea	Simferopol
Yalta Raion	Autonomous Republic of Crimea	Yalta
Yevpatoria Raion	Autonomous Republic of Crimea	Yevpatoria
